event_name,user_pseudo_id,user_id,package_id,package_name
select_item,13D16988BEC249A89327360408839CB4,167521,75,Hemat Nusantara
select_item,13D16988BEC249A89327360408839CB4,167521,75,Hemat Nusantara
select_item,13D16988BEC249A89327360408839CB4,167521,478,Chinese Wok Mini
select_item,13D16988BEC249A89327360408839CB4,167521,61,Java Lunch
select_item,13D16988BEC249A89327360408839CB4,167521,18,Deluxe Lunch
select_item,13D16988BEC249A89327360408839CB4,167521,18,Deluxe Lunch
select_item,13D16988BEC249A89327360408839CB4,167521,28,Pink Lunch
select_item,13D16988BEC249A89327360408839CB4,167521,88,Makmur (Makan Murah)
select_item,13D16988BEC249A89327360408839CB4,167521,75,Hemat Nusantara
select_item,13D16988BEC249A89327360408839CB4,167521,28,Pink Lunch
select_item,13D16988BEC249A89327360408839CB4,167521,18,Deluxe Lunch
select_item,13D16988BEC249A89327360408839CB4,167521,91,Mini Basic
select_item,13D16988BEC249A89327360408839CB4,167521,1182,Mau Tahu?
select_item,13D16988BEC249A89327360408839CB4,167521,1529,Yummy
select_item,13D16988BEC249A89327360408839CB4,167521,1525,Tasty II
select_item,13D16988BEC249A89327360408839CB4,167521,1527,Delight
select_item,13D16988BEC249A89327360408839CB4,167521,1525,Tasty II
select_item,13D16988BEC249A89327360408839CB4,167521,1530,Treats
select_item,13D16988BEC249A89327360408839CB4,167521,1504,Mini Bekal Bunda
select_item,13D16988BEC249A89327360408839CB4,167521,1527,Delight
select_item,13D16988BEC249A89327360408839CB4,167521,1504,Mini Bekal Bunda
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,61,Java Lunch
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,88,Makmur (Makan Murah)
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,75,Hemat Nusantara
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,1497,Tasty
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,1525,Tasty II
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,1525,Tasty II
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,1528,Savoury
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,1524,Basic Lunch Plus
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,75,Hemat Nusantara
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,1,Basic Lunch
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,1524,Basic Lunch Plus
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,1497,Tasty
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,1530,Treats
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,1530,Treats
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,18,Deluxe Lunch
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,1,Basic Lunch
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,61,Java Lunch
select_item,18A9FABBC3BA4EC4A88CF34D7AACB389,28441,18,Deluxe Lunch
select_item,1DA1B795042848A787A9AF083B214165,163314,18,Deluxe Lunch
select_item,1DA1B795042848A787A9AF083B214165,163314,95,Tastylicious Lunch
select_item,1DA1B795042848A787A9AF083B214165,163314,355,Tastylicious Rantangan (2-3 pax) - Lunch
select_item,1DA1B795042848A787A9AF083B214165,163314,368,Serantang Bersama - Lunch by Caterspot
select_item,1DA1B795042848A787A9AF083B214165,163314,969,Small Family Pack
select_item,1DA1B795042848A787A9AF083B214165,163314,1470,Rantangan Komplit (3 pax)
select_item,1DA1B795042848A787A9AF083B214165,163314,1361,Rantang Rumahan
select_item,1DA1B795042848A787A9AF083B214165,163314,368,Serantang Bersama - Lunch by Caterspot
select_item,1DA1B795042848A787A9AF083B214165,163314,355,Tastylicious Rantangan (2-3 pax) - Lunch
select_item,1DA1B795042848A787A9AF083B214165,163314,368,Serantang Bersama - Lunch by Caterspot
select_item,1DA1B795042848A787A9AF083B214165,163314,970,Big Family Pack
select_item,1DA1B795042848A787A9AF083B214165,163314,969,Small Family Pack
select_item,1DA1B795042848A787A9AF083B214165,163314,1361,Rantang Rumahan
select_item,216FEA3308D442DA9A86DB40884C2594,51558,1530,Treats
select_item,216FEA3308D442DA9A86DB40884C2594,51558,1524,Basic Lunch Plus
select_item,261031A7A601484A95EF45A805CD9BA4,29288,75,Hemat Nusantara
select_item,261031A7A601484A95EF45A805CD9BA4,29288,91,Mini Basic
select_item,26D14158399246B286F4705CF8B6D04D,177926,18,Deluxe Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,355,Tastylicious Rantangan (2-3 pax) - Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,95,Tastylicious Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,356,Tastylicious Rantangan (3-4 pax) - Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1,Basic Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,61,Java Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,77,Bakudapa Lunch by KokoWoku
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,75,Hemat Nusantara
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,126,Aleph by AJ Catering
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,924,Bekal Bunda
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,931,The Soy Story
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1491,Bundling 2 Pax Java Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1524,Basic Lunch Plus
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1524,Basic Lunch Plus
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1530,Treats
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1530,Treats
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,18,Deluxe Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1,Basic Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,77,Bakudapa Lunch by KokoWoku
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,88,Makmur (Makan Murah)
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,95,Tastylicious Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,125,DKI Catering
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,95,Tastylicious Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,126,Aleph by AJ Catering
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,633,Siam Thai Kitchen
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,634,Sajian Sunda Ceu Kokom
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,924,Bekal Bunda
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1381,Chinese Wok Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1383,Sangjasal Korean Doshirak Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1394,DKI Catering Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1454,Basic Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1472,Siam Thai Kitchen Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1393,Java Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1392,Cheapdindin by AJ Catering
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1454,Basic Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1369,Rantangan Dinner (2-3 porsi)
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1,Basic Lunch
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,75,Hemat Nusantara
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1472,Siam Thai Kitchen Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1381,Chinese Wok Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1393,Java Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1454,Basic Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1472,Siam Thai Kitchen Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1455,Sajian Sunda Ceu Kokom DInner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1392,Cheapdindin by AJ Catering
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1393,Java Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1381,Chinese Wok Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1382,Chinese Wok Mini Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1469,Miniketo Dinner
select_item,27408252E7CF4A41A9A5376F742A46D4,179662,1507,Djamoerin Dinner
select_item,2C0176666D6248E6AB042AF296E34082,72324,675,Nutripack
select_item,2C0176666D6248E6AB042AF296E34082,72324,786,Burrito Crunchy Chicken
select_item,2C0176666D6248E6AB042AF296E34082,72324,924,Bekal Bunda
select_item,2C0176666D6248E6AB042AF296E34082,72324,931,The Soy Story
select_item,2C0176666D6248E6AB042AF296E34082,72324,20,Healthy Lunch
