event_name,user_pseudo_id,item_id,item_name
select_item,0BBC1D6FBF0F4D419E9BD0DFC04D7CCF,1544,Beef Black pepper sauce
select_item,0BBC1D6FBF0F4D419E9BD0DFC04D7CCF,1273,Chicken Butter Sweet Soy
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,567,Nasi Ayam Bakar dan Udang Goreng Tepung
add_to_cart,0F8B0BE0E0CB489884AB4FAE9CECEF15,567,Nasi Ayam Bakar dan Udang Goreng Tepung
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,2389,Nasi Bistik Ayam
add_to_cart,0F8B0BE0E0CB489884AB4FAE9CECEF15,2389,Nasi Bistik Ayam
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,612,Nasi Merah Ayam Hainam
add_to_cart,0F8B0BE0E0CB489884AB4FAE9CECEF15,612,Nasi Merah Ayam Hainam
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,7206,Fish and Chips
add_to_cart,0F8B0BE0E0CB489884AB4FAE9CECEF15,7206,Fish and Chips
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,616,Nasi Ayam Kari Padang
add_to_cart,0F8B0BE0E0CB489884AB4FAE9CECEF15,616,Nasi Ayam Kari Padang
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,4141,Nasi Merah Ikan Asam Manis
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,11929,Rendang Jamur Tiram
add_to_cart,0F8B0BE0E0CB489884AB4FAE9CECEF15,11929,Rendang Jamur Tiram
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,6533,Nasi Liwet pickmeals
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,11931,Karedok Jamur
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,11371,Nasi Kuning Ayam Geprek
add_to_cart,0F8B0BE0E0CB489884AB4FAE9CECEF15,11371,Nasi Kuning Ayam Geprek
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,1865,Nasi Merah Oseng Cumi
begin_checkout,0F8B0BE0E0CB489884AB4FAE9CECEF15,14924,Nasi Kuning Ayam Geprek
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,1865,Nasi Merah Oseng Cumi
add_to_cart,0F8B0BE0E0CB489884AB4FAE9CECEF15,1865,Nasi Merah Oseng Cumi
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,7204,"""Fried"" Chicken"
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,309,Chicken Teriyaki Sauce
select_item,0F8B0BE0E0CB489884AB4FAE9CECEF15,1330,Ayam Cabai Garam
